Cell,GABA_minified_AugmentedGIFs,GABA_minified_GIFs,GABA_minified_iGIF_NPs,GABA_minified_iGIF_VRs
DRN351,0.6701564202731265,0.642418820366907,0.8132008278035319,0.8221362750161014
DRN354,0.7333511323131535,0.7874703297610919,0.76407554243833,0.7583549967382649
DRN355,0.7527210105145206,0.6953858513017005,0.7465278367814383,0.909671156803427
DRN356,0.9513593689664848,0.8883739784115429,0.9307025112542548,0.9359728686509952
DRN357,0.8630705580226576,0.8629169365591057,0.8365601228130627,0.8359080459146506
SOM_6_LW,0.8373497948123628,0.830451317780685,0.90712169368489,0.7395524131305815
SOM_9_LW,0.9003025686951668,0.8968199847492092,0.6747846325870518,0.6611150290108325
SOM_14_LW,0.7177822052942548,0.6728396516152529,0.7392254381122718,0.7378041924870118
DRN415,0.8898464032961338,0.8871965816933777,,0.9285209225552274
DRN416,0.8415421435616411,0.8442514303635821,0.9056594524938071,0.9041817781072794
DRN419,0.819640786446007,0.8389983342468522,0.8531141320423671,0.8688043577625854
DRN421,0.5696356460252883,0.47079150818064763,0.5464753542781356,0.5578905526965864
DRN422,0.9272004940366916,0.9200209754224297,0.8957912015382915,0.8920034987397901
DRN424,0.8963799677785258,0.8909052963817274,0.9363158587134612,0.9372436524213767
